t1,t2,cost,n_auto,n_manual,n_reject,appr_rate,manual_rate,reject_rate
0.13,0.23,325448.0,197594,34276,14138,0.8032015219017268,0.13932880231537187,0.05746967578290137
0.13,0.24,325448.0,197594,34276,14138,0.8032015219017268,0.13932880231537187,0.05746967578290137
0.13,0.25,325448.0,197594,37086,11328,0.8032015219017268,0.15075119508308674,0.0460472830151865
0.13,0.26,325448.0,197594,38125,10289,0.8032015219017268,0.15497463497122044,0.04182384312705278
0.13,0.27,325448.0,197594,38125,10289,0.8032015219017268,0.15497463497122044,0.04182384312705278
0.13,0.28,325448.0,197594,38526,9888,0.8032015219017268,0.1566046632629833,0.04019381483528991
0.13,0.29,325448.0,197594,41577,6837,0.8032015219017268,0.16900669896913922,0.02779177912913401
0.13,0.3,325448.0,197594,42985,5429,0.8032015219017268,0.17473009007837143,0.022068388019901793
0.13,0.31,325448.0,197594,43882,4532,0.8032015219017268,0.17837631296543202,0.018422165132841208
0.13,0.32,325448.0,197594,45029,3385,0.8032015219017268,0.18303876296705798,0.013759715131215246
0.13,0.32999999999999996,325448.0,197594,45029,3385,0.8032015219017268,0.18303876296705798,0.013759715131215246
0.13,0.33999999999999997,325448.0,197594,45047,3367,0.8032015219017268,0.1831119313193067,0.013686546778966538
0.13,0.35,325448.0,197594,45047,3367,0.8032015219017268,0.1831119313193067,0.013686546778966538
0.13,0.36,325448.0,197594,45047,3367,0.8032015219017268,0.1831119313193067,0.013686546778966538
0.13,0.37,325448.0,197594,45857,2557,0.8032015219017268,0.18640450717049853,0.010393970927774707
0.13,0.38,325448.0,197594,45857,2557,0.8032015219017268,0.18640450717049853,0.010393970927774707
0.13,0.39,325448.0,197594,46515,1899,0.8032015219017268,0.1890792169360346,0.007719261162238626
0.13,0.39999999999999997,325448.0,197594,46558,1856,0.8032015219017268,0.18925400799973985,0.007544470098533381
0.13,0.41,325448.0,197594,46807,1607,0.8032015219017268,0.19026617020584696,0.0065323078924262624
0.13,0.42,325448.0,197594,46807,1607,0.8032015219017268,0.19026617020584696,0.0065323078924262624
0.13,0.42999999999999994,325448.0,197594,47549,865,0.8032015219017268,0.19328233228187702,0.0035161458163962146
0.13,0.43999999999999995,325448.0,197594,47905,509,0.8032015219017268,0.19472943969301812,0.002069038405255114
0.13,0.44999999999999996,325448.0,197594,47905,509,0.8032015219017268,0.19472943969301812,0.002069038405255114
0.13,0.45999999999999996,325448.0,197594,47905,509,0.8032015219017268,0.19472943969301812,0.002069038405255114
0.13,0.47,325448.0,197594,47905,509,0.8032015219017268,0.19472943969301812,0.002069038405255114
0.13,0.48,325448.0,197594,48003,411,0.8032015219017268,0.19512780072192773,0.0016706773763454847
0.13,0.49,325448.0,197594,48003,411,0.8032015219017268,0.19512780072192773,0.0016706773763454847
0.13,0.49999999999999994,325448.0,197594,48003,411,0.8032015219017268,0.19512780072192773,0.0016706773763454847
0.13,0.51,325448.0,197594,48005,409,0.8032015219017268,0.19513593053884426,0.0016625475594289616
0.13,0.52,325448.0,197594,48005,409,0.8032015219017268,0.19513593053884426,0.0016625475594289616
0.13,0.53,325448.0,197594,48005,409,0.8032015219017268,0.19513593053884426,0.0016625475594289616
0.13,0.54,325448.0,197594,48005,409,0.8032015219017268,0.19513593053884426,0.0016625475594289616
0.13,0.5499999999999999,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.5599999999999999,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.57,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.58,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.59,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.5999999999999999,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.6099999999999999,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.6199999999999999,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.6299999999999999,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.6399999999999999,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.6499999999999999,325448.0,197594,48374,40,0.8032015219017268,0.19663588175994276,0.0001625963383304608
0.13,0.6599999999999999,325448.0,197594,48397,17,0.8032015219017268,0.19672937465448279,6.910344379044584e-05
0.13,0.6699999999999999,325448.0,197594,48397,17,0.8032015219017268,0.19672937465448279,6.910344379044584e-05
0.13,0.6799999999999999,325448.0,197594,48397,17,0.8032015219017268,0.19672937465448279,6.910344379044584e-05
0.13,0.69,325448.0,197594,48397,17,0.8032015219017268,0.19672937465448279,6.910344379044584e-05
0.13,0.7,325448.0,197594,48397,17,0.8032015219017268,0.19672937465448279,6.910344379044584e-05
0.14,0.2,325448.0,207126,18559,20323,0.8419482293258755,0.07544063607687555,0.08261113459724886
0.14,0.21000000000000002,325448.0,207126,21035,17847,0.8419482293258755,0.08550534941953107,0.07254642125459335
0.14,0.22,325448.0,207126,24744,14138,0.8419482293258755,0.10058209489122305,0.05746967578290137
0.14,0.23,325448.0,207126,24744,14138,0.8419482293258755,0.10058209489122305,0.05746967578290137
0.14,0.24,325448.0,207126,24744,14138,0.8419482293258755,0.10058209489122305,0.05746967578290137
0.14,0.25,325448.0,207126,27554,11328,0.8419482293258755,0.11200448765893792,0.0460472830151865
0.14,0.26,325448.0,207126,28593,10289,0.8419482293258755,0.11622792754707165,0.04182384312705278
0.14,0.27,325448.0,207126,28593,10289,0.8419482293258755,0.11622792754707165,0.04182384312705278
0.14,0.28,325448.0,207126,28994,9888,0.8419482293258755,0.11785795583883452,0.04019381483528991
0.14,0.29,325448.0,207126,32045,6837,0.8419482293258755,0.1302599915449904,0.02779177912913401
0.14,0.3,325448.0,207126,33453,5429,0.8419482293258755,0.13598338265422263,0.022068388019901793
0.14,0.31,325448.0,207126,34350,4532,0.8419482293258755,0.1396296055412832,0.018422165132841208
0.14,0.32,325448.0,207126,35497,3385,0.8419482293258755,0.14429205554290916,0.013759715131215246
0.14,0.32999999999999996,325448.0,207126,35497,3385,0.8419482293258755,0.14429205554290916,0.013759715131215246
